suite,controller,n,mean_peak_force_n,p90_peak_force_n,p95_peak_force_n,max_peak_force_n,failure_rate_peak_gt_12n,no_contact_rate,unsafe_or_no_contact_rate,mean_impulse_250ms_ns,mean_final_error_n
event_estimation,contact_age_invariant,1920.0,16.289183508405365,21.808177843748812,47.80817736105411,261.3499999999912,0.14583333333333334,0.0,0.14583333333333334,2.225913073232332,5.278125000008923
large_seed_stress,adaptive_windowed_advance,1080.0,14.372018211946829,20.178902220565988,23.600373009014934,100.55212152615528,0.5537037037037037,0.0,0.5537037037037037,1.6137048248318453,1.8714141714261472
large_seed_stress,contact_age_invariant,1080.0,9.221621484337424,11.086410805547054,11.62090152763582,15.59395981050081,0.03148148148148148,0.0,0.03148148148148148,1.4248736087969525,0.22972936041151737
large_seed_stress,delayed_force,1080.0,66.79089052646499,138.1727341808658,169.14174751548506,325.01985271055685,0.8537037037037037,0.0,0.8537037037037037,8.480745152738706,16.252469346522336
large_seed_stress,one_step_mpc,1080.0,5.824611432301131,9.374138024468845,10.717501089881683,14.141490777539099,0.027777777777777776,0.0,0.027777777777777776,1.1928673317074825,3.5040579405265126
large_seed_stress,smith_predictor,1080.0,9.398754594840264,11.383944846217734,11.858419666557852,15.638969380745282,0.03333333333333333,0.0,0.03333333333333333,1.5466212527382384,0.2366526998998426
large_seed_stress,tuned_cautious,1080.0,16.654603297165643,45.24322119933487,56.64097155660326,91.52555756372972,0.4324074074074074,0.36203703703703705,0.7944444444444444,1.5827346265580078,8.649118611227408
mode_switch,adaptive_windowed_advance,600.0,12.403077580167421,17.787332224519787,19.020680809109933,21.13418750414273,0.5466666666666666,0.0,0.5466666666666666,1.8345460937159435,0.8892955036153609
mode_switch,contact_age_invariant,600.0,9.702983087280048,12.937802890569376,13.181774364780727,13.544665618331804,0.15,0.0,0.15,1.6810954887754073,0.10544456251513466
mode_switch,delayed_force,600.0,45.948119160722904,89.62060554810397,113.04421025682883,165.58783160248277,0.8,0.0,0.8,6.485239965749501,15.440425943831839
mode_switch,smith_predictor,600.0,10.159886026900393,13.666912378468508,13.997005198478863,15.395620744576405,0.19833333333333333,0.0,0.19833333333333333,1.8074930344799462,0.09819439140645769
mode_switch,tuned_cautious,600.0,14.536690165933036,32.9125522406064,45.685116845295354,61.227588694500014,0.44666666666666666,0.25,0.6966666666666667,1.4355646250788183,6.625601085674147
mode_switch,wrong_event_control,600.0,10.384686559473257,13.941143936516623,14.520593053890163,16.40733380587354,0.2,0.0,0.2,1.8492138353024636,0.09552044500760841
model_mismatch,adaptive_windowed_advance,140.0,9.630832039187434,13.502055846283932,14.71536517947947,14.861345616623245,0.11428571428571428,0.0,0.11428571428571428,1.8695613027068905,1.502846400128607e-05
model_mismatch,contact_age_invariant,140.0,9.657546675804113,13.816262697814288,14.71536517947947,14.861345616623245,0.11428571428571428,0.0,0.11428571428571428,1.8589863710476096,0.2148178392518943
model_mismatch,smith_predictor,140.0,9.996763979077832,14.584040554764764,14.80816507514192,15.025845231108915,0.22857142857142856,0.0,0.22857142857142856,1.9822769577828516,0.2328969362323153
negative_controls,contact_age_invariant,3.0,8.482923066993703,8.482923066993703,8.482923066993703,8.482923066993703,0.0,0.0,0.0,1.8085486839179203,9.769962616701378e-15
negative_controls,delayed_force,3.0,44.505601051879516,74.47453065903441,78.6367894660381,82.79904827304179,0.6666666666666666,0.0,0.6666666666666666,6.5029798378395585,18.310089282014115
negative_controls,smith_predictor,3.0,9.036267048605797,9.036267048605797,9.036267048605797,9.036267048605797,0.0,0.0,0.0,1.9336901169712635,7.016609515630989e-14
negative_controls,wrong_event_control,3.0,9.410768969907984,9.410768969907984,9.410768969907984,9.410768969907984,0.0,0.0,0.0,1.9766138166188165,7.164639252247677e-14
nominal_latency,adaptive_windowed_advance,14.0,8.482923066993704,8.482923066993703,8.482923066993703,8.482923066993704,0.0,0.0,0.0,1.80854868391792,9.643079985315646e-15
nominal_latency,contact_age_invariant,14.0,8.482923066993704,8.482923066993703,8.482923066993703,8.482923066993704,0.0,0.0,0.0,1.80854868391792,9.643079985315646e-15
nominal_latency,delayed_force,14.0,60.02020799945981,101.55885146584666,106.75885146438173,111.89645146362788,0.9285714285714286,0.0,0.9285714285714286,8.258508174941463,18.188078422557783
nominal_latency,latency_gain_schedule,14.0,19.25846275344271,25.484730471807133,26.078664860417593,26.649785213486012,0.8571428571428571,0.0,0.8571428571428571,2.8590415346810873,5.292145909561998
nominal_latency,low_pass_delayed,14.0,60.105676464009136,101.64643485646789,106.8464348550437,111.98403485431083,0.9285714285714286,0.0,0.9285714285714286,8.267265264746685,18.37880193440707
nominal_latency,one_step_mpc,14.0,8.900917491019609,8.900917491019605,8.900917491019605,8.900917491019605,0.0,0.0,0.0,1.9313595188363062,0.001500000000005386
nominal_latency,smith_predictor,14.0,9.036267048605795,9.036267048605797,9.036267048605797,9.036267048605797,0.0,0.0,0.0,1.9336901169712635,7.035641910338849e-14
nominal_latency,tuned_cautious,14.0,10.298788098654528,26.01158353632309,29.19032025585858,32.33357074147283,0.42857142857142855,0.42857142857142855,0.8571428571428571,1.1425540913195975,6.760379060539896
